804,226,324
629,121,189
928,194,304
436,814,352
209,726,229
221,617,234
484,924,296
169,118,822
919,285,279
870,328,474
413,613,80
360,378,522
70,315,108
242,147,728
247,572,202
83,807,121
966,174,196
345,442,926
410,293,729
108,45,117
201,748,385
289,854,190
325,864,393
129,842,437
955,471,418
575,430,87
291,943,297
436,847,118
62,133,478
119,784,223
987,142,300
949,420,851
71,375,950
559,277,52
492,308,832
82,419,685
206,613,264
900,434,122
992,384,302
350,636,277
494,149,972
871,282,472
858,256,145
466,156,805
553,212,87
200,409,883
80,434,947
126,528,177
192,428,760
834,435,206
306,694,141
221,380,924
408,196,776
112,875,478
343,294,737
137,428,216
272,556,64
408,164,909
348,776,80
326,331,967
384,371,855
281,786,78
178,62,879
313,289,687
233,445,946
633,282,343
899,485,301
244,44,240
973,421,146
89,435,756
218,380,968
216,766,295
268,261,772
273,747,58
80,84,116
994,221,434
297,504,585
386,731,308
309,400,723
270,827,485
447,965,459
429,927,88
413,400,817
175,736,380
51,356,516
158,279,978
867,430,286
147,80,586
936,159,155
354,198,783
896,276,337
63,993,461
296,272,694
261,479,867
786,96,321
426,355,890
185,393,824
406,126,857
463,861,252
147,341,878
886,53,153
380,261,461
964,412,228
402,65,942
483,942,437
189,708,102
262,863,181
119,120,169
165,348,909
890,380,252
421,975,420
555,217,98
865,478,268
180,212,112
140,806,294
505,97,279
51,140,149
577,575,48
785,218,460
